@relation titanic
@attribute 'f1' real
@attribute 'f2' real
@attribute 'f3' real
@attribute 'clase' {0,1}
@data
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,1
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
-1.86652,-0.22821,0.520957,0
